strategy,run,variance,std_dev,return,sharpe,n_assets,is_feasible,time_sec,iterations,pct_feasible_iters,final_cost,tabu_min,tabu_max,K,H,step_size,use_idID,use_TID,data_type,market,n_assets_available
idID_TID,8,0.2088183582533476,0.4569664738833119,0.001185628573801459,0.0025945635874027244,14,True,124.30652379989624,298,1.0,0.2088183582533476,10,25,20,1,0.3,True,True,synthetic,synthetic,
idID_TID,9,0.20881858199666553,0.4569667186969589,0.0011869304271131327,0.0025974110992101705,14,True,109.36657786369324,270,1.0,0.20881858199666553,10,25,20,1,0.3,True,True,synthetic,synthetic,
idID_TID,10,0.20881856358726106,0.4569666985539111,0.001184984041568543,0.002593151853993893,14,True,77.30916404724121,192,1.0,0.20881856358726106,10,25,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_short_tabu,1,0.20881818686098988,0.45696628635052483,0.0011867377354818852,0.002596991880866185,14,True,142.39562487602234,329,1.0,0.20881818686098988,5,15,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_short_tabu,2,0.20881866028965518,0.4569668043629156,0.0011845363091247624,0.002592171461505162,14,True,91.40667128562927,223,1.0,0.20881866028965518,5,15,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_short_tabu,3,0.2088184536654566,0.4569665782805747,0.0011869086501564105,0.0025973642418716577,14,True,110.2855327129364,272,1.0,0.2088184536654566,5,15,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_short_tabu,4,0.20881854721085327,0.4569666806353099,0.001184834404055753,0.002592824497419606,14,True,93.16123747825623,229,1.0,0.20881854721085327,5,15,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_short_tabu,5,0.20881838229360017,0.4569665001874866,0.001183408079525786,0.002589704232236392,14,True,116.49626469612122,323,1.0,0.20881838229360017,5,15,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_short_tabu,6,0.20881887591306825,0.4569670402918226,0.0011857472510292933,0.0025948200777720556,14,True,91.42028760910034,257,1.0,0.20881887591306825,5,15,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_short_tabu,7,0.2088186156040669,0.45696675546922105,0.0011872098362632588,0.0025980223332531314,14,True,74.33837509155273,176,1.0,0.2088186156040669,5,15,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_short_tabu,8,0.20881832945182244,0.45696644236948347,0.0011848784719130073,0.002592922284991258,14,True,145.32559442520142,354,1.0,0.20881832945182244,5,15,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_short_tabu,9,0.2088186019026267,0.45696674047749547,0.0011849384201114144,0.0025930517806903057,14,True,100.97730660438538,257,1.0,0.2088186019026267,5,15,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_short_tabu,10,0.20881850873421587,0.456966638535261,0.001187169959369338,0.002597935733721472,14,True,89.9075677394867,225,1.0,0.20881850873421587,5,15,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_long_tabu,1,0.20881858855308238,0.45696672587080384,0.0011863162166623567,0.0025960669552070595,14,True,78.96827054023743,204,1.0,0.20881858855308238,15,35,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_long_tabu,2,0.20881822804116548,0.4569663314087434,0.0011859150705763421,0.0025951913501381678,14,True,87.79447984695435,219,1.0,0.20881822804116548,15,35,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_long_tabu,3,0.20881869358604116,0.4569668407948668,0.0011856480975019144,0.0025946042286997227,14,True,85.10940051078796,223,1.0,0.20881869358604116,15,35,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_long_tabu,4,0.20881932729892017,0.4569675341847823,0.0011856451541399572,0.00259459385064437,14,True,89.36535596847534,220,1.0,0.20881932729892017,15,35,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_long_tabu,5,0.20881854731507732,0.4569666807493489,0.0011870675129966209,0.002597711305887836,14,True,102.15905833244324,255,1.0,0.20881854731507732,15,35,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_long_tabu,6,0.20881902682644166,0.4569672054168019,0.0011878501305418233,0.002599420957261867,14,True,80.88220548629761,200,1.0,0.20881902682644166,15,35,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_long_tabu,7,0.20881840306644994,0.45696652291655887,0.0011864044144317078,0.0025962611152772403,14,True,126.70659351348877,299,1.0,0.20881840306644994,15,35,20,1,0.3,True,True,synthetic,synthetic,
idID_TID_long_tabu,8,0.20881841798669248,0.4569665392418711,0.0011853389360227296,0.0025939293892048693,14,True,101.56490135192871,282,1.0,0.20881841798669248,15,35,20,1,0.3,True,True,synthetic,synthetic,
